,Suburb,Region,Latitude,Longitude
104,Rustic Canyon,Los Angeles US,34.0779966,-118.5191281
105,San Pedro,Los Angeles US,33.7358518,-118.2922934
106,Sawtelle,Los Angeles US,34.0361107,-118.4503563
107,Shadow Hills,Los Angeles US,34.2619469,-118.3517463
108,Sherman Oaks,Los Angeles US,34.1508718,-118.4489865
109,Silver Lake,Los Angeles US,34.0896518,-118.2693735
110,Skid Row,Los Angeles US,34.0440571,-118.2438507
111,Solano Canyon,Los Angeles US,34.0818871,-118.234983
112,Historic South Central Los Angeles,Los Angeles US,34.0162304,-118.2673085
113,South Park,Los Angeles US,33.9959381,-118.2697608
114,Studio City,Los Angeles US,34.1483989,-118.3961877
115,Sunland-Tujunga,Los Angeles US,34.2578222,-118.3009365
116,Sunset Junction,Los Angeles US,34.0926493,-118.2807954
117,Sun Valley,Los Angeles US,34.2204227,-118.3878945
118,Sylmar,Los Angeles US,34.3076252,-118.4492148
119,Tarzana,Los Angeles US,34.1714436,-118.5429789
120,Terminal Island,Los Angeles US,33.7451061,-118.26302201608382
121,Thai Town,Los Angeles US,34.1018533,-118.3048616
122,Toluca Lake,Los Angeles US,34.1521688,-118.3571417
123,Toy District,Los Angeles US,34.0470483,-118.24551021662734
124,University Park,Los Angeles US,34.027449,-118.2839493
125,Valley Glen,Los Angeles US,34.1826379,-118.4138666
126,Valley Village,Los Angeles US,34.1637147,-118.3965758
127,Van Nuys,Los Angeles US,34.1866193,-118.4486669
128,Venice,Los Angeles US,33.995044,-118.4668875
129,Vermont Knolls,Los Angeles US,33.9668188,-118.29167
130,Vermont-Slauson,Los Angeles US,33.9836914,-118.2915417
131,Vermont Square,Los Angeles US,34.0019449,-118.3002125
132,Vermont Vista,Los Angeles US,33.9419475,-118.2858138
133,Victoria Park,Los Angeles US,34.0466887,-118.3307729
134,Village Green,Los Angeles US,34.0198711,-118.3606643
135,Warner Center,Los Angeles US,34.1811457,-118.5974421
136,Watts,Los Angeles US,33.9405674,-118.2428485
137,West Adams,Los Angeles US,34.0294356,-118.3524833
138,Westchester,Los Angeles US,33.9540977,-118.4000468
139,Westdale,Los Angeles US,34.03038925,-118.4320124625026
140,West Hills,Los Angeles US,34.2032325,-118.645476
141,Westlake,Los Angeles US,34.0629226,-118.2728204
142,West Los Angeles,Los Angeles US,34.0463986,-118.448135
143,Westwood,Los Angeles US,34.0668947,-118.4399448
144,Westwood Village,Los Angeles US,34.0594537,-118.4442462
145,Wilmington,Los Angeles US,33.7800164,-118.2625095
146,Wilshire Center,Los Angeles US,34.06151465,-118.43277116196552
147,Wilshire Park,Los Angeles US,34.06151465,-118.43277116196552
148,Windsor Square,Los Angeles US,34.0689734,-118.3199885
149,Winnetka,Los Angeles US,34.2058826,-118.570934
150,Woodland Hills,Los Angeles US,34.1684364,-118.6058382
151,Wakefield,New York City US,40.894705176609996,-73.84720052054901
152,Co-op City,New York City US,40.87429419303012,-73.829939108124
153,Eastchester,New York City US,40.887555677350775,-73.82780644716412
154,Fieldston,New York City US,40.89543742690383,-73.90564259591682
155,Riverdale,New York City US,40.890834493891305,-73.9125854610857
156,Kingsbridge,New York City US,40.88168737120521,-73.90281798724605
157,Marble Hill,New York City US,40.87655077879964,-73.91065965862981
158,Woodlawn,New York City US,40.898272612138044,-73.86731496814177
159,Norwood,New York City US,40.87722415599446,-73.8793907395681
160,Williamsbridge,New York City US,40.88103887819211,-73.85744642974205
161,Baychester,New York City US,40.866858107252696,-73.83579759808117
162,Pelham Parkway,New York City US,40.857413498088654,-73.85475564017999
163,City Island,New York City US,40.847246704918135,-73.78648845267412
164,Bedford Park,New York City US,40.870185164975325,-73.8855121841913
165,University Heights,New York City US,40.85572707719664,-73.91041596191309
166,Morris Heights,New York City US,40.847897926062714,-73.91967159119567
167,Fordham,New York City US,40.86099679638654,-73.89642655981623
168,East Tremont,New York City US,40.84269615786053,-73.88735617532338
169,West Farms,New York City US,40.839475056726535,-73.87774474910546
170,High  Bridge,New York City US,40.836623010706056,-73.92610209358129
171,Melrose,New York City US,40.819754370594936,-73.90942160757436
172,Mott Haven,New York City US,40.80623874935177,-73.91609987487574
173,Port Morris,New York City US,40.80166362775621,-73.91322139386133
174,Longwood,New York City US,40.81509904545822,-73.8957882009446
175,Hunts Point,New York City US,40.80972987938709,-73.88331505955291
176,Morrisania,New York City US,40.823591985855344,-73.90150648943059
177,Soundview,New York City US,40.821012197914015,-73.86574609554923
178,Clason Point,New York City US,40.80655112003589,-73.85414416189265
179,Throgs Neck,New York City US,40.815109258040046,-73.81635002158441
180,Country Club,New York City US,40.844245936947374,-73.8240992675385
181,Parkchester,New York City US,40.83793782226729,-73.85600310535783
182,Westchester Square,New York City US,40.8406194964327,-73.84219407604444
183,Van Nest,New York City US,40.84360847124718,-73.86629918075609
184,Morris Park,New York City US,40.847549063536334,-73.8504017803042
185,Belmont,New York City US,40.857277100738955,-73.88845196134805
186,Spuyten Duyvil,New York City US,40.88139497727086,-73.91719048210393
187,North Riverdale,New York City US,40.90854282950666,-73.90453054908927
