,Suburb,Region,Latitude,Longitude
188,Pelham Bay,New York City US,40.85064140940335,-73.8320737824047
189,Schuylerville,New York City US,40.826579516869224,-73.82620275994074
190,Edgewater Park,New York City US,40.82198611816349,-73.81388514428619
191,Castle Hill,New York City US,40.81901437698832,-73.84802729582734
192,Olinville,New York City US,40.87137078192371,-73.86332361652777
193,Pelham Gardens,New York City US,40.862965624779974,-73.84161194831223
194,Concourse,New York City US,40.83428380733851,-73.91558941773444
195,Unionport,New York City US,40.82977429787161,-73.85053524451935
196,Edenwald,New York City US,40.884561303037316,-73.84808271877169
197,Bay Ridge,New York City US,40.625801065010656,-74.03062069353813
198,Bensonhurst,New York City US,40.61100890202044,-73.99517998380729
199,Sunset Park,New York City US,40.64510294925429,-74.01031618527784
200,Greenpoint,New York City US,40.7302009848647,-73.95424093127394
201,Gravesend,New York City US,40.59526001306593,-73.97347087708445
202,Brighton Beach,New York City US,40.57682506566604,-73.96509448785335
203,Sheepshead Bay,New York City US,40.58689012678384,-73.9431864048298
204,Manhattan Terrace,New York City US,40.61443251335098,-73.95743840559939
205,Flatbush,New York City US,40.63632589026677,-73.95840106533903
206,Crown Heights,New York City US,40.67082917695294,-73.94329119073582
207,East Flatbush,New York City US,40.64171776668961,-73.93610256185836
208,Kensington,New York City US,40.64238195800353,-73.98042110559473
209,Windsor Terrace,New York City US,40.65694583575104,-73.98007340430172
210,Prospect Heights,New York City US,40.67682226225472,-73.9648592426269
211,Brownsville,New York City US,40.66394994339755,-73.91023536176606
212,Williamsburg,New York City US,40.707144393442505,-73.95811529220926
213,Bushwick,New York City US,40.69811611017901,-73.92525797487045
214,Bedford Stuyvesant,New York City US,40.68723160772045,-73.94178488690297
215,Brooklyn Heights,New York City US,40.69586372272408,-73.99378225496423
216,Cobble Hill,New York City US,40.687919722485574,-73.99856139218463
217,Carroll Gardens,New York City US,40.68054023107649,-73.99465372828006
218,Red Hook,New York City US,40.67625323025089,-74.01275897473559
219,Gowanus,New York City US,40.67393114318715,-73.99444087145339
220,Fort Greene,New York City US,40.68852726018977,-73.97290574369092
221,Park Slope,New York City US,40.67232052268197,-73.97705030183924
222,Cypress Hills,New York City US,40.68239101144211,-73.87661596457295
223,East New York,New York City US,40.669925700847045,-73.88069863917366
224,Starrett City,New York City US,40.64758905230874,-73.87936970045875
225,Canarsie,New York City US,40.63556432797428,-73.90209269778966
226,Flatlands,New York City US,40.630446043757466,-73.92911302644673
227,Mill Island,New York City US,40.606336421685626,-73.90818571777424
228,Manhattan Beach,New York City US,40.57791350308657,-73.94353722891886
229,Coney Island,New York City US,40.57429256471601,-73.98868295821637
230,Bath Beach,New York City US,40.59951870282239,-73.99875221443519
231,Borough Park,New York City US,40.633130512758015,-73.99049823044811
232,Dyker Heights,New York City US,40.61921945772264,-74.01931375636022
233,Gerritsen Beach,New York City US,40.590848433902046,-73.93010170691196
234,Marine Park,New York City US,40.60974777989461,-73.93134404108497
235,Clinton Hill,New York City US,40.69322942188151,-73.96784306216367
236,Sea Gate,New York City US,40.57637537890224,-74.00787311200241
237,Downtown,New York City US,40.69084402109802,-73.98346337431099
238,Boerum Hill,New York City US,40.68568291209144,-73.98374824115798
239,Prospect Lefferts Gardens,New York City US,40.65842001746981,-73.95489867077713
240,Ocean Hill,New York City US,40.67840255479536,-73.91306831787395
241,City Line,New York City US,40.67856995727479,-73.86797598081334
242,Bergen Beach,New York City US,40.615149550453076,-73.89855633630317
243,Midwood,New York City US,40.62559589869843,-73.95759523489838
244,Prospect Park South,New York City US,40.647008603185185,-73.96261316716048
245,Georgetown,New York City US,40.623845244784185,-73.91607483951323
246,East Williamsburg,New York City US,40.70849241041548,-73.93885815269195
247,North Side,New York City US,40.714822906532014,-73.95880857587582
248,South Side,New York City US,40.71086147265064,-73.95800095153331
249,Ocean Parkway,New York City US,40.61305976667942,-73.96836678035541
250,Fort Hamilton,New York City US,40.61476812694226,-74.03197914537985
