,Cluster Labels,Address,Suburb,Region,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Suburb Latitude,Suburb Longitude
1002,0,"Unionport, New York City US",Unionport,New York City US,Latin American Restaurant,Donut Shop,Ice Cream Shop,Electronics Store,Pet Store,Pizza Place,Fast Food Restaurant,Spanish Restaurant,Caribbean Restaurant,Seafood Restaurant,40.8297743,-73.85053524
1003,0,"University Heights, New York City US",University Heights,New York City US,Pizza Place,Supermarket,Convenience Store,Grocery Store,Shoe Store,Sandwich Place,Laundromat,Latin American Restaurant,History Museum,Fast Food Restaurant,40.85572708,-73.91041596
1004,0,"University Park, Los Angeles US",University Park,Los Angeles US,Food Truck,Yoga Studio,Coffee Shop,College Residence Hall,Shipping Store,Big Box Store,Café,Caribbean Restaurant,Farmers Market,Concert Hall,34.027449,-118.2839493
1005,0,"Upper Brookfield, Brisbane",Upper Brookfield,Brisbane,Bus Station,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,-27.4778049,152.868813
1006,0,"Upper East Side, New York City US",Upper East Side,New York City US,Italian Restaurant,Gym / Fitness Center,Juice Bar,Bakery,Yoga Studio,Wine Shop,Exhibit,Hotel,Grocery Store,Salad Place,40.77563857,-73.96050763
1007,0,"Upper Kedron, Brisbane",Upper Kedron,Brisbane,Bus Station,Garden Center,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,-27.41768,152.9214443
1008,0,"Upper Mount Gravatt, Brisbane",Upper Mount Gravatt,Brisbane,Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Sandwich Place,Portuguese Restaurant,Café,Department Store,Supermarket,Shopping Mall,Mexican Restaurant,-27.5589562,153.0815491
1009,0,"Upper Riccarton, Christchurch New Zealand",Upper Riccarton,Christchurch New Zealand,Fast Food Restaurant,Supermarket,Café,Vietnamese Restaurant,Chinese Restaurant,Bar,Asian Restaurant,Pizza Place,Vegetarian / Vegan Restaurant,Pharmacy,-43.5322738,172.5764985
1010,0,"Upper West Side, New York City US",Upper West Side,New York City US,Italian Restaurant,Coffee Shop,Bakery,Wine Bar,American Restaurant,Bagel Shop,Bar,Vegetarian / Vegan Restaurant,Seafood Restaurant,Mediterranean Restaurant,40.787658,-73.97705924
1011,0,"Utopia, New York City US",Utopia,New York City US,Deli / Bodega,Basketball Court,History Museum,Spa,Playground,Ice Cream Shop,Pizza Place,Indie Movie Theater,Automotive Shop,South American Restaurant,40.73350025,-73.79671678
1012,2,"Uttam Nagar, New Delhi India",Uttam Nagar,New Delhi India,Indian Restaurant,Hotel,Light Rail Station,Gym,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,28.6248465,77.0652861
1013,0,"Valley Glen, Los Angeles US",Valley Glen,Los Angeles US,Taco Place,Coffee Shop,Business Service,Cajun / Creole Restaurant,Tiki Bar,Fast Food Restaurant,Middle Eastern Restaurant,Mexican Restaurant,Bakery,Pet Store,34.1826379,-118.4138666
