,Address,Suburb,Region,Latitude,Longitude
72,"Calamvale, City of brisbane",Calamvale,City of brisbane,-27.6169467,153.04953030000001
73,"Coopers Plains, City of brisbane",Coopers Plains,City of brisbane,-27.5691456,153.03374530000002
74,"Darra, City of brisbane",Darra,City of brisbane,-27.566775099999997,152.952776
75,"Doolandella, City of brisbane",Doolandella,City of brisbane,-27.6170218,152.982537
76,"Drewvale, City of brisbane",Drewvale,City of brisbane,-27.6499149,153.05513530000002
77,"Durack, City of brisbane",Durack,City of brisbane,-27.591662,152.985997
78,"Dutton Park, City of brisbane",Dutton Park,City of brisbane,-27.4962402,153.02690230000002
79,"Eight Mile Plains, City of brisbane",Eight Mile Plains,City of brisbane,-27.5779184,153.092299
80,"Ellen Grove, City of brisbane",Ellen Grove,City of brisbane,-27.618466100000003,152.9488045
81,"Fairfield, City of brisbane",Fairfield,City of brisbane,-27.5076932,153.02402
82,"Forest Lake, City of brisbane",Forest Lake,City of brisbane,-27.622876899999998,152.9702476
83,"Greenslopes, City of brisbane",Greenslopes,City of brisbane,-27.5088321,153.0529626
84,"Heathwood, City of brisbane",Heathwood,City of brisbane,-27.6389382,152.9874053
85,"Holland Park, City of brisbane",Holland Park,City of brisbane,-27.520083000000003,153.07297830000002
86,"Holland Park West, City of brisbane",Holland Park West,City of brisbane,-27.528196,153.0643664
87,"Inala, City of brisbane",Inala,City of brisbane,-27.598540000000003,152.9720075
88,"Karawatha, City of brisbane",Karawatha,City of brisbane,-27.631915600000003,153.080353746429
89,"Kuraby, City of brisbane",Kuraby,City of brisbane,-27.6047543,153.0982186
90,"Larapinta, City of brisbane",Larapinta,City of brisbane,-27.640833,153.006393
91,"MacGregor, City of brisbane",MacGregor,City of brisbane,-27.5627054,153.072007
92,"Mackenzie, City of brisbane",Mackenzie,City of brisbane,-27.543318,153.1248543
93,"Mansfield, City of brisbane",Mansfield,City of brisbane,-27.531494800000004,153.10153180000003
94,"Moorooka, City of brisbane",Moorooka,City of brisbane,-27.5357999,153.0201543
95,"Mount Gravatt, City of brisbane",Mount Gravatt,City of brisbane,-27.542717,153.07289550000002
96,"Mount Gravatt East, City of brisbane",Mount Gravatt East,City of brisbane,-27.532626699999998,153.08307050000002
97,"Nathan, City of brisbane",Nathan,City of brisbane,-27.548375,153.0474942
98,"Pallara, City of brisbane",Pallara,City of brisbane,-27.620834000000002,153.005005
99,"Parkinson, City of brisbane",Parkinson,City of brisbane,-27.635737199999998,153.0300028
100,"Richlands, City of brisbane",Richlands,City of brisbane,-27.5949839,152.9538031
101,"Robertson, City of brisbane",Robertson,City of brisbane,-27.564728499999998,153.0576815
102,"Rochedale, City of brisbane",Rochedale,City of brisbane,-27.579602100000002,153.12360619999998
103,"Rocklea, City of brisbane",Rocklea,City of brisbane,-27.5482033,153.0115871
104,"Runcorn, City of brisbane",Runcorn,City of brisbane,-27.5902743,153.0705615
105,"Salisbury, City of brisbane",Salisbury,City of brisbane,-27.554318100000003,153.0265175
106,"Seventeen Mile Rocks, City of brisbane",Seventeen Mile Rocks,City of brisbane,-27.549546600000003,152.95794750000002
107,"Sinnamon Park, City of brisbane",Sinnamon Park,City of brisbane,-27.5446662,152.94725400000002
108,"Stretton, City of brisbane",Stretton,City of brisbane,-27.612683299999997,153.06839399999998
109,"Sumner, City of brisbane",Sumner,City of brisbane,-27.5658793,152.9338149
110,"Sunnybank, City of brisbane",Sunnybank,City of brisbane,-27.575283399999996,153.0557235
111,"Sunnybank Hills, City of brisbane",Sunnybank Hills,City of brisbane,-27.5991376,153.0486182
112,"Tarragindi, City of brisbane",Tarragindi,City of brisbane,-27.5266462,153.0434187
113,"Tennyson, City of brisbane",Tennyson,City of brisbane,-27.525702600000002,153.00172990000002
114,"Upper Mount Gravatt, City of brisbane",Upper Mount Gravatt,City of brisbane,-27.558956199999997,153.0815491
115,"Wacol, City of brisbane",Wacol,City of brisbane,-27.593620899999998,152.9283056
116,"Willawong, City of brisbane",Willawong,City of brisbane,-27.5980978,153.00589399999998
117,"Wishart, City of brisbane",Wishart,City of brisbane,-27.551435499999997,153.1031592
118,"Yeerongpilly, City of brisbane",Yeerongpilly,City of brisbane,-27.5239023,153.0137075
119,"Yeronga, City of brisbane",Yeronga,City of brisbane,-27.5168901,153.0143034
120,"Balmoral, City of brisbane",Balmoral,City of brisbane,-27.455907399999997,153.0664859
